ref_area,indicator,source,classif1,time,obs_value,obs_status
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2009,5.3554,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2009,6.8679,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2009,9.3381,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2009,14.9818,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2009,51.9944,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2010,0.6616,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2010,1.4187,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2010,2.1753,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2010,3.0027,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2010,4.0261,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2010,5.2894,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2010,6.7629,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2010,9.226,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2010,14.8631,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2010,52.574,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2011,0.6528,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2011,1.3911,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2011,2.1297,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2011,2.9411,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2011,3.9494,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2011,5.2094,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2011,6.6403,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2011,9.0956,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2011,14.7282,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2011,53.2623,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2012,0.6576,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2012,1.402,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2012,2.1451,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2012,2.9593,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2012,3.9668,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2012,5.2284,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2012,6.6535,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2012,9.1083,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2012,14.7303,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2012,53.1488,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2013,0.6614,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2013,1.4104,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2013,2.1569,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2013,2.9731,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2013,3.9797,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2013,5.2425,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2013,6.6616,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2013,9.1157,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2013,14.7286,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2013,53.0703,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2014,0.6634,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2014,1.4141,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2014,2.1614,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2014,2.9776,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2014,3.982,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2014,5.2455,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2014,6.6561,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2014,9.1091,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2014,14.7148,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2014,53.0759,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2015,0.6651,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2015,1.4173,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2015,2.1653,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2015,2.9814,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2015,3.984,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2015,5.248,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2015,6.6515,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2015,9.1034,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2015,14.7031,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2015,53.0809,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2016,0.6681,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2016,1.4243,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2016,2.1755,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2016,2.9937,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2016,3.9964,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2016,5.2614,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2016,6.663,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2016,9.1149,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2016,14.7088,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2016,52.994,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_01,2017,0.6698,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_02,2017,1.4279,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_03,2017,2.1805,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_04,2017,2.9994,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_05,2017,4.0015,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_06,2017,5.267,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_07,2017,6.6653,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_08,2017,9.1167,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_09,2017,14.7062,I
AGO,LAP_2LID_QTL_DT,XA:2010,QTL_DECILE_10,2017,52.9656,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_01,2004,1.7882,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_02,2004,3.2822,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_03,2004,4.1575,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_04,2004,5.019,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_05,2004,6.0654,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_06,2004,7.0702,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_07,2004,8.4832,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_08,2004,10.3573,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_09,2004,14.181,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_10,2004,39.5961,I
ALB,LAP_2LID_QTL_DT,XA:2137,QTL_DECILE_01,2005,1.7983,I
