"COUNTRY","Country","SEX","Sex","SERIES","Series","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2011","2011",42.1152703505645,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2012","2012",42.5908336366299,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2013","2013",42.3080597948353,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",42.2184498319485,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2015","2015",43.4682578434699,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2016","2016",43.7411716676873,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2017","2017",44.1116963196095,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2018","2018",42.0273536845586,,
"CAN","Canada","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2019","2019",39.3686293458503,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",42.5251596147603,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",42.2504556241723,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",43.2674632352941,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",42.7851844426624,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",43.6080205404084,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",42.9870745879284,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",41.8802928418975,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",41.6705444392741,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",41.0557184750733,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",41.0658209744116,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",41.5611921757105,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2011","2011",41.0056523082751,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2012","2012",41.2850783820399,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2013","2013",41.2039626487178,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",41.0114656309814,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2015","2015",41.8963088702687,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2016","2016",42.151431209603,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2017","2017",42.3865261835816,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2018","2018",40.276244512336,,
"CAN","Canada","T","Total","MEAN","Mean","YOUTH","Youth over Prime-age","2019","2019",37.7713674682317,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2000","2000",40.0138696255201,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2001","2001",39.622641509434,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2002","2002",41.4919551438323,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2003","2003",39.6825396825397,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2004","2004",41.1377708978328,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2005","2005",40.5761145692511,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2006","2006",39.766081871345,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2007","2007",39.5541061036296,,
"CAN","Canada","W","Women","MEDIAN","Median","YOUTH","Youth over Prime-age","2008","2008",39.8395721925134,,
