"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","PRT","Portugal","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",119.4473,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","PRT","Portugal","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",118.6665,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SVK","Slovak Republic","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",116.6784,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SVK","Slovak Republic","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",122.0056,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SVK","Slovak Republic","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",123.3551,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ESP","Spain","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",101.4328,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ESP","Spain","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",103.112,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ESP","Spain","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",106.4705,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SWE","Sweden","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.9582,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SWE","Sweden","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.4704,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SWE","Sweden","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",110.3158,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","TUR","Turkey","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",161.2,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","TUR","Turkey","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",199.775,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","TUR","Turkey","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",236.475,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","GBR","United Kingdom","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.6638,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","GBR","United Kingdom","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.2078,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","GBR","United Kingdom","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.111,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","USA","United States","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",108.1889,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","USA","United States","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",111.2618,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","USA","United States","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",114.4813,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","EST","Estonia","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",116.7191,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","EST","Estonia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",124.3902,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","EST","Estonia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",128.0881,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ISR","Israel","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",108.0706,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ISR","Israel","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",116.5206,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","ISR","Israel","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",121.6481,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SVN","Slovenia","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",109.9944,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SVN","Slovenia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",114.3031,,
"LCEAMN01_IXOBSA","Manufacturing, Index, SA","SVN","Slovenia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",120.2229,,
"LCEAPR_IXOBSA","Private Sector, Index, SA","AUT","Austria","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.6717,,
"LCEAPR_IXOBSA","Private Sector, Index, SA","AUT","Austria","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.9318,,
"LCEAPR_IXOBSA","Private Sector, Index, SA","AUT","Austria","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",114.3796,,
"LCEAPR_IXOBSA","Private Sector, Index, SA","BEL","Belgium","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",104.5717,,
"LCEAPR_IXOBSA","Private Sector, Index, SA","BEL","Belgium","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",107.2595,,
